"","id","time","activity.name","activity.type","accuracy","easy.time","day","hour","minute","second"
"212",212,1518717568613,"[""stationary""]",2,1,2018-02-15 12:59:28,15,12,59,28.6129999160767
"213",213,1518717631110,"[""stationary""]",2,1,2018-02-15 13:00:31,15,13,0,31.1099998950958
"214",214,1518717811058,"[""stationary""]",2,1,2018-02-15 13:03:31,15,13,3,31.058000087738
"215",215,1518717965717,"[""stationary""]",2,1,2018-02-15 13:06:05,15,13,6,5.71700000762939
"216",216,1518717991069,"[""stationary""]",2,1,2018-02-15 13:06:31,15,13,6,31.069000005722
"217",217,1518718101203,"[""stationary""]",2,1,2018-02-15 13:08:21,15,13,8,21.2030000686646
"218",218,1518718171039,"[""stationary""]",2,1,2018-02-15 13:09:31,15,13,9,31.0390000343323
"219",219,1518718186680,NA,2,0,2018-02-15 13:09:46,15,13,9,46.6800000667572
"220",220,1518718234596,"[""stationary""]",2,1,2018-02-15 13:10:34,15,13,10,34.595999956131
"221",221,1518718235227,"[""stationary""]",2,1,2018-02-15 13:10:35,15,13,10,35.2269999980927
"222",222,1518718235227,"[""stationary""]",2,1,2018-02-15 13:10:35,15,13,10,35.2269999980927
"223",223,1518718235227,"[""stationary""]",2,1,2018-02-15 13:10:35,15,13,10,35.2269999980927
"224",224,1518718235227,"[""stationary""]",2,1,2018-02-15 13:10:35,15,13,10,35.2269999980927
"225",225,1518718351033,"[""stationary""]",2,1,2018-02-15 13:12:31,15,13,12,31.0329999923706
"226",226,1518718531035,"[""stationary""]",2,1,2018-02-15 13:15:31,15,13,15,31.0350000858307
"227",227,1518718608170,NA,2,0,2018-02-15 13:16:48,15,13,16,48.1700000762939
"228",228,1518718610995,"[""walking""]",1,0,2018-02-15 13:16:50,15,13,16,50.9949998855591
"229",229,1518718616007,NA,2,0,2018-02-15 13:16:56,15,13,16,56.0069999694824
"230",230,1518718629781,"[""stationary""]",2,1,2018-02-15 13:17:09,15,13,17,9.78099989891052
"231",231,1518718630408,"[""stationary""]",2,1,2018-02-15 13:17:10,15,13,17,10.4079999923706
"232",232,1518718630408,"[""stationary""]",2,1,2018-02-15 13:17:10,15,13,17,10.4079999923706
"233",233,1518718891059,"[""stationary""]",2,1,2018-02-15 13:21:31,15,13,21,31.0590000152588
"234",234,1518718940723,NA,2,0,2018-02-15 13:22:20,15,13,22,20.7230000495911
"235",235,1518718952595,"[""stationary""]",2,1,2018-02-15 13:22:32,15,13,22,32.5950000286102
"236",236,1518718952908,NA,2,0,2018-02-15 13:22:32,15,13,22,32.9079999923706
"237",237,1518718957282,"[""stationary""]",2,1,2018-02-15 13:22:37,15,13,22,37.2820000648499
"238",238,1518718963859,NA,2,0,2018-02-15 13:22:43,15,13,22,43.8589999675751
"239",239,1518718987337,"[""stationary""]",2,1,2018-02-15 13:23:07,15,13,23,7.33699989318848
"240",240,1518719034593,NA,2,0,2018-02-15 13:23:54,15,13,23,54.5929999351501
"241",241,1518719051819,"[""stationary""]",2,1,2018-02-15 13:24:11,15,13,24,11.819000005722
"242",242,1518719141365,NA,2,0,2018-02-15 13:25:41,15,13,25,41.3650000095367
"243",243,1518719144810,"[""stationary""]",2,1,2018-02-15 13:25:44,15,13,25,44.8099999427795
"244",244,1518719239695,NA,2,0,2018-02-15 13:27:19,15,13,27,19.6949999332428
"245",245,1518719243133,"[""stationary""]",2,1,2018-02-15 13:27:23,15,13,27,23.1329998970032
"246",246,1518719273821,NA,2,0,2018-02-15 13:27:53,15,13,27,53.8210000991821
"247",247,1518719280387,"[""stationary""]",2,1,2018-02-15 13:28:00,15,13,28,0.38700008392334
"248",248,1518719281954,NA,2,0,2018-02-15 13:28:01,15,13,28,1.9539999961853
"249",249,1518719294791,"[""stationary""]",2,1,2018-02-15 13:28:14,15,13,28,14.7909998893738
"250",250,1518719821419,NA,2,0,2018-02-15 13:37:01,15,13,37,1.41899991035461
"251",251,1518719830146,"[""stationary""]",2,1,2018-02-15 13:37:10,15,13,37,10.1459999084473
"252",252,1518719831079,NA,2,0,2018-02-15 13:37:11,15,13,37,11.0789999961853
"253",253,1518719835784,"[""walking""]",1,0,2018-02-15 13:37:15,15,13,37,15.7839999198914
"254",254,1518719838285,NA,2,0,2018-02-15 13:37:18,15,13,37,18.2850000858307
"255",255,1518719842348,"[""stationary""]",2,1,2018-02-15 13:37:22,15,13,37,22.3480000495911
"256",256,1518719861450,NA,2,0,2018-02-15 13:37:41,15,13,37,41.4500000476837
"257",257,1518719885881,"[""stationary""]",2,1,2018-02-15 13:38:05,15,13,38,5.88100004196167
"258",258,1518719942554,NA,2,0,2018-02-15 13:39:02,15,13,39,2.55399990081787
"259",259,1518719965412,"[""stationary""]",2,1,2018-02-15 13:39:25,15,13,39,25.4119999408722
"260",260,1518720214631,NA,2,0,2018-02-15 13:43:34,15,13,43,34.6310000419617
"261",261,1518720226209,"[""stationary""]",2,1,2018-02-15 13:43:46,15,13,43,46.2090001106262
"262",262,1518720245900,NA,2,0,2018-02-15 13:44:05,15,13,44,5.90000009536743
"263",263,1518720251545,"[""stationary""]",2,1,2018-02-15 13:44:11,15,13,44,11.5450000762939
"264",264,1518720297097,NA,2,0,2018-02-15 13:44:57,15,13,44,57.0969998836517
"265",265,1518720301784,"[""walking""]",1,0,2018-02-15 13:45:01,15,13,45,1.78399991989136
"266",266,1518720306789,"[""walking""]",2,0,2018-02-15 13:45:06,15,13,45,6.78900003433228
"267",267,1518720371916,"[""running""]",2,0,2018-02-15 13:46:11,15,13,46,11.9159998893738
"268",268,1518720374424,"[""walking""]",1,0,2018-02-15 13:46:14,15,13,46,14.4240000247955
"269",269,1518720376927,"[""walking""]",2,0,2018-02-15 13:46:16,15,13,46,16.9270000457764
"270",270,1518720505946,"[""stationary""]",2,1,2018-02-15 13:48:25,15,13,48,25.9460000991821
"271",271,1518720507512,NA,2,0,2018-02-15 13:48:27,15,13,48,27.5120000839233
"272",272,1518720544467,"[""stationary""]",2,1,2018-02-15 13:49:04,15,13,49,4.46700000762939
"273",273,1518720555115,NA,2,0,2018-02-15 13:49:15,15,13,49,15.1150000095367
"274",274,1518720560438,"[""stationary""]",2,1,2018-02-15 13:49:20,15,13,49,20.4379999637604
"275",275,1518720561378,NA,2,0,2018-02-15 13:49:21,15,13,49,21.3780000209808
"276",276,1518720637785,"[""stationary""]",2,1,2018-02-15 13:50:37,15,13,50,37.7850000858307
"277",277,1518720659081,NA,2,0,2018-02-15 13:50:59,15,13,50,59.0810000896454
"278",278,1518720709823,"[""stationary""]",2,1,2018-02-15 13:51:49,15,13,51,49.8229999542236
"279",279,1518720720162,NA,2,0,2018-02-15 13:52:00,15,13,52,0.161999940872192
"280",280,1518720727987,"[""stationary""]",2,1,2018-02-15 13:52:07,15,13,52,7.98699998855591
"281",281,1518720733624,NA,2,0,2018-02-15 13:52:13,15,13,52,13.6240000724792
"282",282,1518720740514,"[""stationary""]",2,1,2018-02-15 13:52:20,15,13,52,20.5139999389648
