"","easy.time","easy.time2","batvalue","latitude","longitude"
"200",2018-02-16 03:28:58,"2018-02-16 03:28:58",86,40.4415952031995,-79.919914710347
"201",2018-02-16 03:31:58,"2018-02-16 03:31:58",88,40.4415951929285,-79.919914715225
"202",2018-02-16 03:34:58,"2018-02-16 03:34:58",89,40.4415951836005,-79.9199147196555
"203",2018-02-16 03:37:58,"2018-02-16 03:37:58",90,40.4415951751285,-79.9199147236795
"204",2018-02-16 03:40:58,"2018-02-16 03:40:58",91,40.4415612878637,-79.9198778006648
"205",2018-02-16 03:40:58,"2018-02-16 03:40:58",91,40.4415612878637,-79.9198778006648
"206",2018-02-16 03:43:58,"2018-02-16 03:43:58",92,40.4415951603795,-79.9199147306845
"207",2018-02-16 03:46:58,"2018-02-16 03:46:58",93,40.441595153972,-79.919914733728
"208",2018-02-16 03:49:58,"2018-02-16 03:49:58",93,40.441573379791,-79.9199207786115
"209",2018-02-16 03:52:58,"2018-02-16 03:52:58",94,40.441565083874,-79.9198608146995
"210",2018-02-16 03:55:58,"2018-02-16 03:55:58",94,40.441546245833,-79.919850844463
"211",2018-02-16 03:55:58,"2018-02-16 03:55:58",94,40.441546245833,-79.919850844463
"212",2018-02-16 03:58:58,"2018-02-16 03:58:58",95,40.441565082878,-79.91986081522
"213",2018-02-16 04:01:58,"2018-02-16 04:01:58",95,40.441565082445,-79.9198608154755
"214",2018-02-16 04:04:58,"2018-02-16 04:04:58",96,40.4415650820485,-79.91986081571
"215",2018-02-16 04:07:58,"2018-02-16 04:07:58",96,40.441565081686,-79.919860815924
"216",2018-02-16 04:10:58,"2018-02-16 04:10:58",96,40.4415487432635,-79.9198708897802
"217",2018-02-16 04:10:58,"2018-02-16 04:10:58",96,40.4415487432635,-79.9198708897802
"218",2018-02-16 04:13:58,"2018-02-16 04:13:58",97,40.441570502123,-79.9199001773035
"219",2018-02-16 04:16:58,"2018-02-16 04:16:58",97,40.4415704996625,-79.9199001815305
"220",2018-02-16 04:19:58,"2018-02-16 04:19:58",97,40.441570497454,-79.919900185324
"221",2018-02-16 04:22:58,"2018-02-16 04:22:58",97,40.4415704954635,-79.919900188744
"222",2018-02-16 04:25:58,"2018-02-16 04:25:58",97,40.4415489509922,-79.9198705329062
"223",2018-02-16 04:25:58,"2018-02-16 04:25:58",97,40.4415489509922,-79.9198705329062
"224",2018-02-16 04:28:58,"2018-02-16 04:28:58",98,40.441570492047,-79.9199001946135
"225",2018-02-16 04:31:58,"2018-02-16 04:31:58",98,40.4415704905745,-79.919900197143
"226",2018-02-16 04:34:58,"2018-02-16 04:34:58",98,40.441570489237,-79.9199001994405
"227",2018-02-16 04:37:58,"2018-02-16 04:37:58",98,40.4415704880215,-79.919900201529
"228",2018-02-16 04:40:58,"2018-02-16 04:40:58",98,40.4415489476145,-79.9198705387092
"229",2018-02-16 04:40:58,"2018-02-16 04:40:58",98,40.4415489476145,-79.9198705387092
"230",2018-02-16 04:43:58,"2018-02-16 04:43:58",98,40.441548947112,-79.9198705395725
"231",2018-02-16 04:46:58,"2018-02-16 04:46:58",100,40.4415704849895,-79.919900206738
"232",2018-02-16 04:49:58,"2018-02-16 04:49:58",100,40.4415704841515,-79.9199002081785
"233",2018-02-16 04:52:58,"2018-02-16 04:52:58",100,40.4415704833855,-79.919900209494
"234",2018-02-16 04:55:58,"2018-02-16 04:55:58",100,40.4415489455013,-79.91987054234
"235",2018-02-16 04:55:58,"2018-02-16 04:55:58",100,40.4415489455013,-79.91987054234
"236",2018-02-16 04:58:58,"2018-02-16 04:58:58",100,40.4415704820485,-79.9199002117905
"237",2018-02-16 05:01:58,"2018-02-16 05:01:58",100,40.441570481465,-79.919900212793
"238",2018-02-16 05:04:58,"2018-02-16 05:04:58",100,40.441570480932,-79.9199002137085
"239",2018-02-16 05:07:58,"2018-02-16 05:07:58",100,40.4415704804445,-79.9199002145465
"240",2018-02-16 05:10:58,"2018-02-16 05:10:58",100,40.4415245584275,-79.9198445951047
"241",2018-02-16 05:10:58,"2018-02-16 05:10:58",100,40.4415245584275,-79.9198445951047
"242",2018-02-16 05:13:58,"2018-02-16 05:13:58",100,40.441522090942,-79.919847226193
"243",2018-02-16 05:16:58,"2018-02-16 05:16:58",100,40.4415220641065,-79.919847302687
"244",2018-02-16 05:19:58,"2018-02-16 05:19:58",100,40.4415220414875,-79.9198473671625
"245",2018-02-16 05:22:58,"2018-02-16 05:22:58",100,40.441522022267,-79.919847421949
"246",2018-02-16 05:25:58,"2018-02-16 05:25:58",100,40.4415247071805,-79.9198441710872
